| ITERATION REPORT  |
|10.02.2021 21:46:20|
_____________________
Iteration 1
---------------------
Cluster 1
Centroid X:28,7307692307692
Centroid Y:31,75
Member Data Points
PointID:0 X:19 Y:15
PointID:1 X:21 Y:15
PointID:2 X:20 Y:16
PointID:3 X:23 Y:16
PointID:4 X:31 Y:17
PointID:5 X:22 Y:17
PointID:6 X:35 Y:18
PointID:7 X:23 Y:18
PointID:9 X:30 Y:19
PointID:11 X:35 Y:19
PointID:12 X:58 Y:20
PointID:13 X:24 Y:20
PointID:14 X:37 Y:20
PointID:15 X:22 Y:20
PointID:16 X:35 Y:21
PointID:17 X:20 Y:21
PointID:18 X:52 Y:23
PointID:19 X:35 Y:23
PointID:20 X:35 Y:24
PointID:21 X:25 Y:24
PointID:22 X:46 Y:25
PointID:23 X:31 Y:25
PointID:25 X:29 Y:28
PointID:26 X:45 Y:28
PointID:27 X:35 Y:28
PointID:28 X:40 Y:29
PointID:29 X:23 Y:29
PointID:31 X:21 Y:30
PointID:33 X:18 Y:33
PointID:35 X:21 Y:33
PointID:36 X:42 Y:34
PointID:37 X:30 Y:34
PointID:38 X:36 Y:37
PointID:39 X:20 Y:37
PointID:41 X:24 Y:38
PointID:43 X:31 Y:39
PointID:45 X:24 Y:39
PointID:47 X:27 Y:40
PointID:48 X:29 Y:40
PointID:49 X:31 Y:40
PointID:51 X:33 Y:42
PointID:52 X:31 Y:43
PointID:58 X:27 Y:46
PointID:61 X:19 Y:46
PointID:65 X:18 Y:48
PointID:68 X:19 Y:48
PointID:69 X:32 Y:48
PointID:75 X:26 Y:54
PointID:78 X:23 Y:54
PointID:84 X:21 Y:54
PointID:87 X:22 Y:57
PointID:91 X:18 Y:59

Cluster 2
Centroid X:42,5138888888889
Centroid Y:69,0347222222222
Member Data Points
PointID:8 X:64 Y:19
PointID:10 X:67 Y:19
PointID:24 X:54 Y:28
PointID:30 X:60 Y:30
PointID:32 X:53 Y:33
PointID:34 X:49 Y:33
PointID:40 X:65 Y:38
PointID:42 X:48 Y:39
PointID:44 X:49 Y:39
PointID:46 X:50 Y:40
PointID:50 X:49 Y:42
PointID:53 X:59 Y:43
PointID:54 X:50 Y:43
PointID:55 X:47 Y:43
PointID:56 X:51 Y:44
PointID:57 X:69 Y:44
PointID:59 X:53 Y:46
PointID:60 X:70 Y:46
PointID:62 X:67 Y:47
PointID:63 X:54 Y:47
PointID:64 X:63 Y:48
PointID:66 X:43 Y:48
PointID:67 X:68 Y:48
PointID:70 X:70 Y:49
PointID:71 X:47 Y:49
PointID:72 X:60 Y:50
PointID:73 X:60 Y:50
PointID:74 X:59 Y:54
PointID:76 X:45 Y:54
PointID:77 X:40 Y:54
PointID:79 X:49 Y:54
PointID:80 X:57 Y:54
PointID:81 X:38 Y:54
PointID:82 X:67 Y:54
PointID:83 X:46 Y:54
PointID:85 X:48 Y:54
PointID:86 X:55 Y:57
PointID:88 X:34 Y:58
PointID:89 X:50 Y:58
PointID:90 X:68 Y:59
PointID:92 X:48 Y:60
PointID:93 X:40 Y:60
PointID:94 X:32 Y:60
PointID:95 X:24 Y:60
PointID:96 X:47 Y:60
PointID:97 X:27 Y:60
PointID:98 X:48 Y:61
PointID:99 X:20 Y:61
PointID:100 X:23 Y:62
PointID:101 X:49 Y:62
PointID:102 X:67 Y:62
PointID:103 X:26 Y:62
PointID:104 X:49 Y:62
PointID:105 X:21 Y:62
PointID:106 X:66 Y:63
PointID:107 X:54 Y:63
PointID:108 X:68 Y:63
PointID:109 X:66 Y:63
PointID:110 X:65 Y:63
PointID:111 X:19 Y:63
PointID:112 X:38 Y:64
PointID:113 X:19 Y:64
PointID:114 X:18 Y:65
PointID:115 X:19 Y:65
PointID:116 X:63 Y:65
PointID:117 X:49 Y:65
PointID:118 X:51 Y:67
PointID:119 X:50 Y:67
PointID:120 X:27 Y:67
PointID:121 X:38 Y:67
PointID:122 X:40 Y:69
PointID:123 X:39 Y:69
PointID:124 X:23 Y:70
PointID:125 X:31 Y:70
PointID:126 X:43 Y:71
PointID:127 X:40 Y:71
PointID:128 X:59 Y:71
PointID:129 X:38 Y:71
PointID:130 X:47 Y:71
